Participant (n°),,POV,Ordre,Training,,,,,,Salle 1,,,,,Nbr Obj,Salle 2,,,,,Nbr Obj,Salle 3,,,,,Nbr Obj,Salle 4,,,,,Nbr Obj,Salle 5,,,,,Nbr Obj,Salle 6,,,,,Nbr Obj,Moyenne des rappels par salle
,Rang,Liste A,Liste B,Items similaires,Longueur de la liste,Similarité,Similarité moyenne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,a,z,0,1,0,0,sans prise en compte de H86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,b,c,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,c,a,2,3,"0,6666666667","0,2222222222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,d,v,2,4,"0,5","0,2407407407",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,e,w,2,5,"0,4","0,2157407407",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rang,Liste A,Liste B,Items similaires,Longueur de la liste,Similarité,Similarité moyenne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,B,G,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,G,B,2,2,1,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,T,Z,2,3,"0,6666666667","0,5833333333",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,Z,J,3,4,"0,75","0,6111111111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,J,F,4,5,"0,8","0,6236111111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,banane,poisson,ananas,oeuf,peluche,tente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,banane,poisson,tortue,cadenas,peluche,tente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
